Date,Year,Month,Quarter,YearQuarter,YearMonth,Country,Provider,InternetType,Technology,MetricType,DownloadSpeed,UploadSpeed,Latency,Jitter,Device,Aggregate Date
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.17,13.89,NA,NA,NA,Apr-19
2019-04-01T00:00:00Z,2019,4,2,2019-Q2,2019-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,20.85,8.5,NA,NA,NA,Apr-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.49,13.76,NA,NA,NA,May-19
2019-05-01T00:00:00Z,2019,5,2,2019-Q2,2019-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.8,8.65,NA,NA,NA,May-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.96,13.94,NA,NA,NA,Jun-19
2019-06-01T00:00:00Z,2019,6,2,2019-Q2,2019-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.94,9.01,NA,NA,NA,Jun-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.58,14.08,NA,NA,NA,Jul-19
2019-07-01T00:00:00Z,2019,7,3,2019-Q3,2019-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.1,9.07,NA,NA,NA,Jul-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,30.52,14.45,NA,NA,NA,Aug-19
2019-08-01T00:00:00Z,2019,8,3,2019-Q3,2019-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.24,9.62,NA,NA,NA,Aug-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.81,15.44,NA,NA,NA,Sep-19
2019-09-01T00:00:00Z,2019,9,3,2019-Q3,2019-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,23.81,10.55,NA,NA,NA,Sep-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,28.93,15.8,NA,NA,NA,Oct-19
2019-10-01T00:00:00Z,2019,10,4,2019-Q4,2019-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.98,11.17,NA,NA,NA,Oct-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,30.26,16.11,NA,NA,NA,Nov-19
2019-11-01T00:00:00Z,2019,11,4,2019-Q4,2019-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,23.97,10.96,NA,NA,NA,Nov-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,32.66,16.2,NA,NA,NA,Dec-19
2019-12-01T00:00:00Z,2019,12,4,2019-Q4,2019-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.25,11.08,NA,NA,NA,Dec-19
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Azerbaijan,All Providers Combined,Cellular,cellular,mean,27.8,14.73,NA,NA,NA,Jan-20
2020-01-01T00:00:00Z,2020,1,1,2020-Q1,2020-01,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.12,9.05,NA,NA,NA,Jan-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Azerbaijan,All Providers Combined,Cellular,cellular,mean,27.5,14.82,NA,NA,NA,Feb-20
2020-02-01T00:00:00Z,2020,2,1,2020-Q1,2020-02,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.1,9.11,NA,NA,NA,Feb-20
2020-03-01T00:00:00Z,2020,3,1,2020-Q1,2020-03,Azerbaijan,All Providers Combined,Cellular,cellular,mean,27.05,14.08,NA,NA,NA,Mar-20
2020-03-01T00:00:00Z,2020,3,1,2020-Q1,2020-03,Azerbaijan,All Providers Combined,Cellular,cellular,median,21.11,8.16,NA,NA,NA,Mar-20
2020-04-01T00:00:00Z,2020,4,2,2020-Q2,2020-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,27.53,13.35,NA,NA,NA,Apr-20
2020-04-01T00:00:00Z,2020,4,2,2020-Q2,2020-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,22.05,7.21,NA,NA,NA,Apr-20
2020-05-01T00:00:00Z,2020,5,2,2020-Q2,2020-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,29.76,13.88,NA,NA,NA,May-20
2020-05-01T00:00:00Z,2020,5,2,2020-Q2,2020-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,23.89,7.43,NA,NA,NA,May-20
2020-06-01T00:00:00Z,2020,6,2,2020-Q2,2020-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,30.99,13.79,NA,NA,NA,Jun-20
2020-06-01T00:00:00Z,2020,6,2,2020-Q2,2020-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.18,8.02,NA,NA,NA,Jun-20
2020-07-01T00:00:00Z,2020,7,3,2020-Q3,2020-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.23,13.72,NA,NA,NA,Jul-20
2020-07-01T00:00:00Z,2020,7,3,2020-Q3,2020-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.12,7.67,NA,NA,NA,Jul-20
2020-08-01T00:00:00Z,2020,8,3,2020-Q3,2020-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,32.99,14.85,NA,NA,NA,Aug-20
2020-08-01T00:00:00Z,2020,8,3,2020-Q3,2020-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,26.67,8.89,NA,NA,NA,Aug-20
2020-09-01T00:00:00Z,2020,9,3,2020-Q3,2020-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,35.11,16.07,NA,NA,NA,Sep-20
2020-09-01T00:00:00Z,2020,9,3,2020-Q3,2020-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,29.26,10.8,NA,NA,NA,Sep-20
2020-10-01T00:00:00Z,2020,10,4,2020-Q4,2020-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.45,14.58,NA,NA,NA,Oct-20
2020-10-01T00:00:00Z,2020,10,4,2020-Q4,2020-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.09,9.48,NA,NA,NA,Oct-20
2020-11-01T00:00:00Z,2020,11,4,2020-Q4,2020-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.45,15.86,NA,NA,NA,Nov-20
2020-11-01T00:00:00Z,2020,11,4,2020-Q4,2020-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.23,10.25,NA,NA,NA,Nov-20
2020-12-01T00:00:00Z,2020,12,4,2020-Q4,2020-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,31.44,15.02,NA,NA,NA,Dec-20
2020-12-01T00:00:00Z,2020,12,4,2020-Q4,2020-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,25.43,8.95,NA,NA,NA,Dec-20
2021-01-01T00:00:00Z,2021,1,1,2021-Q1,2021-01,Azerbaijan,All Providers Combined,Cellular,cellular,mean,32.78,14.84,NA,NA,NA,Jan-21
2021-01-01T00:00:00Z,2021,1,1,2021-Q1,2021-01,Azerbaijan,All Providers Combined,Cellular,cellular,median,26.26,8.79,NA,NA,NA,Jan-21
2021-02-01T00:00:00Z,2021,2,1,2021-Q1,2021-02,Azerbaijan,All Providers Combined,Cellular,cellular,mean,35.19,15.9,NA,NA,NA,Feb-21
2021-02-01T00:00:00Z,2021,2,1,2021-Q1,2021-02,Azerbaijan,All Providers Combined,Cellular,cellular,median,28.72,9.97,NA,NA,NA,Feb-21
2021-03-01T00:00:00Z,2021,3,1,2021-Q1,2021-03,Azerbaijan,All Providers Combined,Cellular,cellular,mean,35.5,15.1,NA,NA,NA,Mar-21
2021-03-01T00:00:00Z,2021,3,1,2021-Q1,2021-03,Azerbaijan,All Providers Combined,Cellular,cellular,median,28.43,8.92,NA,NA,NA,Mar-21
2021-04-01T00:00:00Z,2021,4,2,2021-Q2,2021-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,38.05,15.75,NA,NA,NA,Apr-21
2021-04-01T00:00:00Z,2021,4,2,2021-Q2,2021-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,30.97,9.47,NA,NA,NA,Apr-21
2021-05-01T00:00:00Z,2021,5,2,2021-Q2,2021-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,36.34,14.35,NA,NA,NA,May-21
2021-05-01T00:00:00Z,2021,5,2,2021-Q2,2021-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,27.5,7.33,NA,NA,NA,May-21
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,37.11,14.97,NA,NA,NA,Jun-21
2021-06-01T00:00:00Z,2021,6,2,2021-Q2,2021-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,29.27,8.35,NA,NA,NA,Jun-21
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,37.24,14.59,NA,NA,NA,Jul-21
2021-07-01T00:00:00Z,2021,7,3,2021-Q3,2021-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,27.46,7.98,NA,NA,NA,Jul-21
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,39.25,14.83,NA,NA,NA,Aug-21
2021-08-01T00:00:00Z,2021,8,3,2021-Q3,2021-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,29.93,8.06,NA,NA,NA,Aug-21
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,40.69,15.39,NA,NA,NA,Sep-21
2021-09-01T00:00:00Z,2021,9,3,2021-Q3,2021-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,31.4,9.04,NA,NA,NA,Sep-21
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,38.71,15.13,NA,NA,NA,Oct-21
2021-10-01T00:00:00Z,2021,10,4,2021-Q4,2021-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,29.61,8.67,NA,NA,NA,Oct-21
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,38.56,14.76,NA,NA,NA,Nov-21
2021-11-01T00:00:00Z,2021,11,4,2021-Q4,2021-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,28.23,8.24,NA,NA,NA,Nov-21
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,38.87,14.94,NA,NA,NA,Dec-21
2021-12-01T00:00:00Z,2021,12,4,2021-Q4,2021-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,29.06,8.51,NA,NA,NA,Dec-21
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Azerbaijan,All Providers Combined,Cellular,cellular,mean,41.16,15.2,46,18,NA,Jan-22
2022-01-01T00:00:00Z,2022,1,1,2022-Q1,2022-01,Azerbaijan,All Providers Combined,Cellular,cellular,median,30.96,9.6,34.2083,8.1184,NA,Jan-22
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Azerbaijan,All Providers Combined,Cellular,cellular,mean,40.63,15.23,45,17,NA,Feb-22
2022-02-01T00:00:00Z,2022,2,1,2022-Q1,2022-02,Azerbaijan,All Providers Combined,Cellular,cellular,median,30.85,9.29,34.0661,7.6808,NA,Feb-22
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Azerbaijan,All Providers Combined,Cellular,cellular,mean,41.18,15.12,48,21,NA,Mar-22
2022-03-01T00:00:00Z,2022,3,1,2022-Q1,2022-03,Azerbaijan,All Providers Combined,Cellular,cellular,median,30.4,8.97,34.5835,7.9734,NA,Mar-22
2022-04-01T00:00:00Z,2022,4,2,2022-Q2,2022-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,42.62,16.26,46,15,NA,Apr-22
2022-04-01T00:00:00Z,2022,4,2,2022-Q2,2022-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,32.52,10.14,34.3072,7.4824,NA,Apr-22
2022-05-01T00:00:00Z,2022,5,2,2022-Q2,2022-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,42.61,15.49,49,20,NA,May-22
2022-05-01T00:00:00Z,2022,5,2,2022-Q2,2022-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,32.17,10.04,36.0157,8.8302,NA,May-22
2022-06-01T00:00:00Z,2022,6,2,2022-Q2,2022-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,43.84,15.64,49,19,NA,Jun-22
2022-06-01T00:00:00Z,2022,6,2,2022-Q2,2022-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,33.64,10.07,35.3475,8.7641,NA,Jun-22
2022-07-01T00:00:00Z,2022,7,3,2022-Q3,2022-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,41.93,15.16,50,22,NA,Jul-22
2022-07-01T00:00:00Z,2022,7,3,2022-Q3,2022-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,31.23,9.23,36.0123,8.8089,NA,Jul-22
2022-08-01T00:00:00Z,2022,8,3,2022-Q3,2022-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,41.32,14.98,54,23,NA,Aug-22
2022-08-01T00:00:00Z,2022,8,3,2022-Q3,2022-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,30.9,8.92,36.6348,9.0227,NA,Aug-22
2022-09-01T00:00:00Z,2022,9,3,2022-Q3,2022-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,43.31,15.98,48,20,NA,Sep-22
2022-09-01T00:00:00Z,2022,9,3,2022-Q3,2022-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,33.95,10.22,35.6723,8.9955,NA,Sep-22
2022-10-01T00:00:00Z,2022,10,4,2022-Q4,2022-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,44.25,15.61,48,20,NA,Oct-22
2022-10-01T00:00:00Z,2022,10,4,2022-Q4,2022-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,33.8,10.06,35.1028,8.8575,NA,Oct-22
2022-11-01T00:00:00Z,2022,11,4,2022-Q4,2022-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,44.75,15.62,51,22,NA,Nov-22
2022-11-01T00:00:00Z,2022,11,4,2022-Q4,2022-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,34.6,9.66,35.3844,9.0496,NA,Nov-22
2022-12-01T00:00:00Z,2022,12,4,2022-Q4,2022-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,45.93,15.87,51,21,NA,Dec-22
2022-12-01T00:00:00Z,2022,12,4,2022-Q4,2022-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,34.93,10.05,35.3828,8.884,NA,Dec-22
2023-01-01T00:00:00Z,2023,1,1,2023-Q1,2023-01,Azerbaijan,All Providers Combined,Cellular,cellular,mean,42.87,15.05,53,19,NA,Jan-23
2023-01-01T00:00:00Z,2023,1,1,2023-Q1,2023-01,Azerbaijan,All Providers Combined,Cellular,cellular,median,32.23,8.95,35.568,8.8761,NA,Jan-23
2023-02-01T00:00:00Z,2023,2,1,2023-Q1,2023-02,Azerbaijan,All Providers Combined,Cellular,cellular,mean,48.07,16.16,51,19,NA,Feb-23
2023-02-01T00:00:00Z,2023,2,1,2023-Q1,2023-02,Azerbaijan,All Providers Combined,Cellular,cellular,median,37.47,11.04,35.2358,8.8835,NA,Feb-23
2023-03-01T00:00:00Z,2023,3,1,2023-Q1,2023-03,Azerbaijan,All Providers Combined,Cellular,cellular,mean,52.44,16.94,49,18,NA,Mar-23
2023-03-01T00:00:00Z,2023,3,1,2023-Q1,2023-03,Azerbaijan,All Providers Combined,Cellular,cellular,median,39.46,12.29,34.7398,8.584,NA,Mar-23
2023-04-01T00:00:00Z,2023,4,2,2023-Q2,2023-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,54.88,17,49,18,NA,Apr-23
2023-04-01T00:00:00Z,2023,4,2,2023-Q2,2023-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,39.24,11.34,34.7328,8.5209,NA,Apr-23
2023-05-01T00:00:00Z,2023,5,2,2023-Q2,2023-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,55.59,16.97,49,18,NA,May-23
2023-05-01T00:00:00Z,2023,5,2,2023-Q2,2023-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,40.97,11.58,34.3607,8.3769,NA,May-23
2023-06-01T00:00:00Z,2023,6,2,2023-Q2,2023-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,54.39,16.7,50,19,NA,Jun-23
2023-06-01T00:00:00Z,2023,6,2,2023-Q2,2023-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,40.39,11.25,34.556,8.418,NA,Jun-23
2023-07-01T00:00:00Z,2023,7,3,2023-Q3,2023-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,53.75,16.87,49,17,NA,Jul-23
2023-07-01T00:00:00Z,2023,7,3,2023-Q3,2023-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,41.77,11.24,34.3289,8.4419,NA,Jul-23
2023-08-01T00:00:00Z,2023,8,3,2023-Q3,2023-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,55.56,16.86,50,18,NA,Aug-23
2023-08-01T00:00:00Z,2023,8,3,2023-Q3,2023-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,42.94,11.15,33.9384,8.592,NA,Aug-23
2023-09-01T00:00:00Z,2023,9,3,2023-Q3,2023-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,57.45,18.11,48,19,NA,Sep-23
2023-09-01T00:00:00Z,2023,9,3,2023-Q3,2023-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,44.88,13.11,33.6213,8.6951,NA,Sep-23
2023-10-01T00:00:00Z,2023,10,4,2023-Q4,2023-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,58.6,18.04,48,18,NA,Oct-23
2023-10-01T00:00:00Z,2023,10,4,2023-Q4,2023-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,45.7,12.71,33.6666,8.771,NA,Oct-23
2023-11-01T00:00:00Z,2023,11,4,2023-Q4,2023-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,59.65,18.1,47,17,NA,Nov-23
2023-11-01T00:00:00Z,2023,11,4,2023-Q4,2023-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,45.45,12.85,33.1386,8.4833,NA,Nov-23
2023-12-01T00:00:00Z,2023,12,4,2023-Q4,2023-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,60.11,17.58,47,17,NA,Dec-23
2023-12-01T00:00:00Z,2023,12,4,2023-Q4,2023-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,43.8,11.87,32.9048,8.2517,NA,Dec-23
2024-01-01T00:00:00Z,2024,1,1,2024-Q1,2024-01,Azerbaijan,All Providers Combined,Cellular,cellular,mean,59.68,17.52,46,17,NA,Jan-24
2024-01-01T00:00:00Z,2024,1,1,2024-Q1,2024-01,Azerbaijan,All Providers Combined,Cellular,cellular,median,46.88,12.22,32.889,8.2944,NA,Jan-24
2024-02-01T00:00:00Z,2024,2,1,2024-Q1,2024-02,Azerbaijan,All Providers Combined,Cellular,cellular,mean,62.82,18.3,46,18,NA,Feb-24
2024-02-01T00:00:00Z,2024,2,1,2024-Q1,2024-02,Azerbaijan,All Providers Combined,Cellular,cellular,median,48.41,13.23,33.3016,8.3534,NA,Feb-24
2024-03-01T00:00:00Z,2024,3,1,2024-Q1,2024-03,Azerbaijan,All Providers Combined,Cellular,cellular,mean,64.34,18.34,47,18,NA,Mar-24
2024-03-01T00:00:00Z,2024,3,1,2024-Q1,2024-03,Azerbaijan,All Providers Combined,Cellular,cellular,median,50.12,12.77,33.8976,8.5631,NA,Mar-24
2024-04-01T00:00:00Z,2024,4,2,2024-Q2,2024-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,64.08,19.16,47,18,NA,Apr-24
2024-04-01T00:00:00Z,2024,4,2,2024-Q2,2024-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,49.62,13.99,34.5784,8.6663,NA,Apr-24
2024-05-01T00:00:00Z,2024,5,2,2024-Q2,2024-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,67.3,19.73,48,19,NA,May-24
2024-05-01T00:00:00Z,2024,5,2,2024-Q2,2024-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,51.18,14.47,34.5587,8.7568,NA,May-24
2024-06-01T00:00:00Z,2024,6,2,2024-Q2,2024-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,73.4,19.26,46,17,NA,Jun-24
2024-06-01T00:00:00Z,2024,6,2,2024-Q2,2024-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,54.93,14.11,33.3933,8.3717,NA,Jun-24
2024-07-01T00:00:00Z,2024,7,3,2024-Q3,2024-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,70.93,19.28,47,17,NA,Jul-24
2024-07-01T00:00:00Z,2024,7,3,2024-Q3,2024-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,55.31,14.02,33.4701,8.1626,NA,Jul-24
2024-08-01T00:00:00Z,2024,8,3,2024-Q3,2024-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,71.75,19.54,45,18,NA,Aug-24
2024-08-01T00:00:00Z,2024,8,3,2024-Q3,2024-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,54.75,14.68,32.9267,8.1726,NA,Aug-24
2024-09-01T00:00:00Z,2024,9,3,2024-Q3,2024-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,71.09,20.26,43,16,NA,Sep-24
2024-09-01T00:00:00Z,2024,9,3,2024-Q3,2024-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,55.32,15.72,32.8966,8.2804,NA,Sep-24
2024-10-01T00:00:00Z,2024,10,4,2024-Q4,2024-10,Azerbaijan,All Providers Combined,Cellular,cellular,mean,72.02,19.87,44,17,NA,Oct-24
2024-10-01T00:00:00Z,2024,10,4,2024-Q4,2024-10,Azerbaijan,All Providers Combined,Cellular,cellular,median,54.72,14.87,33.3734,8.6088,NA,Oct-24
2024-11-01T00:00:00Z,2024,11,4,2024-Q4,2024-11,Azerbaijan,All Providers Combined,Cellular,cellular,mean,74.49,21.67,44,17,NA,Nov-24
2024-11-01T00:00:00Z,2024,11,4,2024-Q4,2024-11,Azerbaijan,All Providers Combined,Cellular,cellular,median,57.2,16.53,33.2235,8.5762,NA,Nov-24
2024-12-01T00:00:00Z,2024,12,4,2024-Q4,2024-12,Azerbaijan,All Providers Combined,Cellular,cellular,mean,75.74,21.59,44,17,NA,Dec-24
2024-12-01T00:00:00Z,2024,12,4,2024-Q4,2024-12,Azerbaijan,All Providers Combined,Cellular,cellular,median,57.81,16.31,33.2478,8.7055,NA,Dec-24
2025-01-01T00:00:00Z,2025,1,1,2025-Q1,2025-01,Azerbaijan,All Providers Combined,Cellular,cellular,mean,77.35,22.12,46,18,NA,Jan-25
2025-01-01T00:00:00Z,2025,1,1,2025-Q1,2025-01,Azerbaijan,All Providers Combined,Cellular,cellular,median,59.45,17.01,33.0293,8.5886,NA,Jan-25
2025-02-01T00:00:00Z,2025,2,1,2025-Q1,2025-02,Azerbaijan,All Providers Combined,Cellular,cellular,mean,88.29,22.33,47,18,NA,Feb-25
2025-02-01T00:00:00Z,2025,2,1,2025-Q1,2025-02,Azerbaijan,All Providers Combined,Cellular,cellular,median,62.75,17.14,32.8703,8.7164,NA,Feb-25
2025-03-01T00:00:00Z,2025,3,1,2025-Q1,2025-03,Azerbaijan,All Providers Combined,Cellular,cellular,mean,87.2,23.24,45,17,NA,Mar-25
2025-03-01T00:00:00Z,2025,3,1,2025-Q1,2025-03,Azerbaijan,All Providers Combined,Cellular,cellular,median,65.57,18.02,32.6383,8.4559,NA,Mar-25
2025-04-01T00:00:00Z,2025,4,2,2025-Q2,2025-04,Azerbaijan,All Providers Combined,Cellular,cellular,mean,80.16,21.89,45,17,NA,Apr-25
2025-04-01T00:00:00Z,2025,4,2,2025-Q2,2025-04,Azerbaijan,All Providers Combined,Cellular,cellular,median,58.98,16.67,32.8898,8.6863,NA,Apr-25
2025-05-01T00:00:00Z,2025,5,2,2025-Q2,2025-05,Azerbaijan,All Providers Combined,Cellular,cellular,mean,83.3,22.13,47,18,NA,May-25
2025-05-01T00:00:00Z,2025,5,2,2025-Q2,2025-05,Azerbaijan,All Providers Combined,Cellular,cellular,median,61.51,16.77,33.1475,8.6955,NA,May-25
2025-06-01T00:00:00Z,2025,6,2,2025-Q2,2025-06,Azerbaijan,All Providers Combined,Cellular,cellular,mean,85.02,22.2,51,19,NA,Jun-25
2025-06-01T00:00:00Z,2025,6,2,2025-Q2,2025-06,Azerbaijan,All Providers Combined,Cellular,cellular,median,63.59,16.82,33.6032,8.7251,NA,Jun-25
2025-07-01T00:00:00Z,2025,7,3,2025-Q3,2025-07,Azerbaijan,All Providers Combined,Cellular,cellular,mean,88.47,22.74,51,19,NA,Jul-25
2025-07-01T00:00:00Z,2025,7,3,2025-Q3,2025-07,Azerbaijan,All Providers Combined,Cellular,cellular,median,65.87,17.6,33.2104,8.7086,NA,Jul-25
2025-08-01T00:00:00Z,2025,8,3,2025-Q3,2025-08,Azerbaijan,All Providers Combined,Cellular,cellular,mean,90.77,23.44,48,19,NA,Aug-25
2025-08-01T00:00:00Z,2025,8,3,2025-Q3,2025-08,Azerbaijan,All Providers Combined,Cellular,cellular,median,68.15,18.4,33.4934,8.5929,NA,Aug-25
2025-09-01T00:00:00Z,2025,9,3,2025-Q3,2025-09,Azerbaijan,All Providers Combined,Cellular,cellular,mean,88.75,23.75,47,19,NA,Sep-25
2025-09-01T00:00:00Z,2025,9,3,2025-Q3,2025-09,Azerbaijan,All Providers Combined,Cellular,cellular,median,69.82,19.36,33.071,8.7466,NA,Sep-25
