Provider,Location,Device,Aggregate Date,Technology Type,Metric Type,Multi-Server Latency,Multi-Server Jitter,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,Uzbekistan,,Dec-20,cellular,mean,,,12.66,7.4
All Providers Combined,Azerbaijan,,Jan-21,cellular,median,,,26.26,8.79
All Providers Combined,Azerbaijan,,Jan-21,cellular,mean,,,32.78,14.84
All Providers Combined,Armenia,,Jan-21,cellular,median,,,21.14,7.94
All Providers Combined,Armenia,,Jan-21,cellular,mean,,,32.91,12.41
All Providers Combined,Belarus,,Jan-21,cellular,median,,,10.07,4.43
All Providers Combined,Belarus,,Jan-21,cellular,mean,,,17.3,9.26
All Providers Combined,Kazakhstan,,Jan-21,cellular,median,,,12.16,6.31
All Providers Combined,Kazakhstan,,Jan-21,cellular,mean,,,20.15,10.04
All Providers Combined,Kyrgyzstan,,Jan-21,cellular,median,,,16.15,7.83
All Providers Combined,Kyrgyzstan,,Jan-21,cellular,mean,,,21.05,10.92
All Providers Combined,Russia,,Jan-21,cellular,median,,,15.15,6.92
All Providers Combined,Russia,,Jan-21,cellular,mean,,,23.91,10.18
All Providers Combined,Tajikistan,,Jan-21,cellular,median,,,5.56,2.39
All Providers Combined,Tajikistan,,Jan-21,cellular,mean,,,12.49,4.98
All Providers Combined,Uzbekistan,,Jan-21,cellular,median,,,8.79,4.97
All Providers Combined,Uzbekistan,,Jan-21,cellular,mean,,,12.94,7.64
All Providers Combined,Azerbaijan,,Feb-21,cellular,median,,,28.72,9.97
All Providers Combined,Azerbaijan,,Feb-21,cellular,mean,,,35.19,15.9
All Providers Combined,Armenia,,Feb-21,cellular,median,,,21.86,7.52
All Providers Combined,Armenia,,Feb-21,cellular,mean,,,32.5,11.97
All Providers Combined,Belarus,,Feb-21,cellular,median,,,9.64,4.66
All Providers Combined,Belarus,,Feb-21,cellular,mean,,,16.83,9.46
All Providers Combined,Kazakhstan,,Feb-21,cellular,median,,,12.02,6.41
All Providers Combined,Kazakhstan,,Feb-21,cellular,mean,,,19.95,10.05
All Providers Combined,Kyrgyzstan,,Feb-21,cellular,median,,,15.86,8.04
All Providers Combined,Kyrgyzstan,,Feb-21,cellular,mean,,,21.02,11.37
All Providers Combined,Russia,,Feb-21,cellular,median,,,14.83,7.04
All Providers Combined,Russia,,Feb-21,cellular,mean,,,23.62,10.28
All Providers Combined,Tajikistan,,Feb-21,cellular,median,,,5.6,2.4
All Providers Combined,Tajikistan,,Feb-21,cellular,mean,,,12.59,5.2
All Providers Combined,Uzbekistan,,Feb-21,cellular,median,,,9.51,5.51
All Providers Combined,Uzbekistan,,Feb-21,cellular,mean,,,13.88,8.16
All Providers Combined,Azerbaijan,,Mar-21,cellular,median,,,28.43,8.92
All Providers Combined,Azerbaijan,,Mar-21,cellular,mean,,,35.5,15.1
All Providers Combined,Armenia,,Mar-21,cellular,median,,,16.75,5.29
All Providers Combined,Armenia,,Mar-21,cellular,mean,,,28.06,10.5
All Providers Combined,Belarus,,Mar-21,cellular,median,,,9.52,4.34
All Providers Combined,Belarus,,Mar-21,cellular,mean,,,16.45,9.17
All Providers Combined,Kazakhstan,,Mar-21,cellular,median,,,13.53,7.09
All Providers Combined,Kazakhstan,,Mar-21,cellular,mean,,,22.05,10.7
All Providers Combined,Kyrgyzstan,,Mar-21,cellular,median,,,14.97,7.37
All Providers Combined,Kyrgyzstan,,Mar-21,cellular,mean,,,20.6,11.14
All Providers Combined,Russia,,Mar-21,cellular,median,,,15,7.02
All Providers Combined,Russia,,Mar-21,cellular,mean,,,24.14,10.3
All Providers Combined,Tajikistan,,Mar-21,cellular,median,,,5.72,2.6
All Providers Combined,Tajikistan,,Mar-21,cellular,mean,,,12.79,5.31
All Providers Combined,Uzbekistan,,Mar-21,cellular,median,,,10.22,5.45
All Providers Combined,Uzbekistan,,Mar-21,cellular,mean,,,14.44,8.15
All Providers Combined,Azerbaijan,,Apr-21,cellular,median,,,30.97,9.47
All Providers Combined,Azerbaijan,,Apr-21,cellular,mean,,,38.05,15.75
All Providers Combined,Armenia,,Apr-21,cellular,median,,,17.03,4.66
All Providers Combined,Armenia,,Apr-21,cellular,mean,,,29.38,9.6
All Providers Combined,Belarus,,Apr-21,cellular,median,,,9.92,4.24
All Providers Combined,Belarus,,Apr-21,cellular,mean,,,17.84,9.02
All Providers Combined,Kazakhstan,,Apr-21,cellular,median,,,16.59,7.81
All Providers Combined,Kazakhstan,,Apr-21,cellular,mean,,,27.01,11.67
All Providers Combined,Kyrgyzstan,,Apr-21,cellular,median,,,17.55,8.1
All Providers Combined,Kyrgyzstan,,Apr-21,cellular,mean,,,24.51,11.8
All Providers Combined,Russia,,Apr-21,cellular,median,,,16.52,7.02
All Providers Combined,Russia,,Apr-21,cellular,mean,,,26.86,10.4
All Providers Combined,Tajikistan,,Apr-21,cellular,median,,,6.25,2.8
All Providers Combined,Tajikistan,,Apr-21,cellular,mean,,,13.74,5.34
All Providers Combined,Uzbekistan,,Apr-21,cellular,median,,,12.12,5.82
All Providers Combined,Uzbekistan,,Apr-21,cellular,mean,,,17.26,8.68
All Providers Combined,Azerbaijan,,May-21,cellular,median,,,27.5,7.33
All Providers Combined,Azerbaijan,,May-21,cellular,mean,,,36.34,14.35
All Providers Combined,Armenia,,May-21,cellular,median,,,17.61,4.88
All Providers Combined,Armenia,,May-21,cellular,mean,,,30.51,10.34
All Providers Combined,Belarus,,May-21,cellular,median,,,9.6,4.06
All Providers Combined,Belarus,,May-21,cellular,mean,,,17.84,8.48
All Providers Combined,Kazakhstan,,May-21,cellular,median,,,18.44,7.75
All Providers Combined,Kazakhstan,,May-21,cellular,mean,,,29.7,11.79
All Providers Combined,Kyrgyzstan,,May-21,cellular,median,,,17.1,7.55
All Providers Combined,Kyrgyzstan,,May-21,cellular,mean,,,24.19,11.65
All Providers Combined,Russia,,May-21,cellular,median,,,16.94,6.56
All Providers Combined,Russia,,May-21,cellular,mean,,,27.31,10.02
All Providers Combined,Tajikistan,,May-21,cellular,median,,,6.78,2.68
All Providers Combined,Tajikistan,,May-21,cellular,mean,,,14.79,5.86
All Providers Combined,Uzbekistan,,May-21,cellular,median,,,13.43,6.13
All Providers Combined,Uzbekistan,,May-21,cellular,mean,,,18.57,9.28
All Providers Combined,Azerbaijan,,Jun-21,cellular,median,,,29.27,8.35
All Providers Combined,Azerbaijan,,Jun-21,cellular,mean,,,37.11,14.97
All Providers Combined,Armenia,,Jun-21,cellular,median,,,19.92,5.64
All Providers Combined,Armenia,,Jun-21,cellular,mean,,,32.67,10.86
All Providers Combined,Belarus,,Jun-21,cellular,median,,,9.43,3.87
All Providers Combined,Belarus,,Jun-21,cellular,mean,,,17.83,7.99
All Providers Combined,Kazakhstan,,Jun-21,cellular,median,,,18.54,7.98
All Providers Combined,Kazakhstan,,Jun-21,cellular,mean,,,30.18,11.89
All Providers Combined,Kyrgyzstan,,Jun-21,cellular,median,,,18.3,7.58
All Providers Combined,Kyrgyzstan,,Jun-21,cellular,mean,,,25.68,11.71
All Providers Combined,Russia,,Jun-21,cellular,median,,,16.52,6.24
All Providers Combined,Russia,,Jun-21,cellular,mean,,,27.2,9.77
All Providers Combined,Tajikistan,,Jun-21,cellular,median,,,8.08,3.59
All Providers Combined,Tajikistan,,Jun-21,cellular,mean,,,16.78,6.45
All Providers Combined,Uzbekistan,,Jun-21,cellular,median,,,13.38,6.23
All Providers Combined,Uzbekistan,,Jun-21,cellular,mean,,,18.39,9.47
All Providers Combined,Azerbaijan,,Jul-21,cellular,median,,,27.46,7.98
All Providers Combined,Azerbaijan,,Jul-21,cellular,mean,,,37.24,14.59
All Providers Combined,Armenia,,Jul-21,cellular,median,,,20.98,5.91
All Providers Combined,Armenia,,Jul-21,cellular,mean,,,33.13,10.83
All Providers Combined,Belarus,,Jul-21,cellular,median,,,9.2,3.8
All Providers Combined,Belarus,,Jul-21,cellular,mean,,,18.33,8.24
All Providers Combined,Kazakhstan,,Jul-21,cellular,median,,,18.64,7.74
All Providers Combined,Kazakhstan,,Jul-21,cellular,mean,,,30.43,11.81
All Providers Combined,Kyrgyzstan,,Jul-21,cellular,median,,,17.9,7.58
All Providers Combined,Kyrgyzstan,,Jul-21,cellular,mean,,,24.92,11.49
All Providers Combined,Russia,,Jul-21,cellular,median,,,16.33,6.16
All Providers Combined,Russia,,Jul-21,cellular,mean,,,27.07,9.71
All Providers Combined,Tajikistan,,Jul-21,cellular,median,,,7.65,4.03
All Providers Combined,Tajikistan,,Jul-21,cellular,mean,,,15.16,7.3
All Providers Combined,Uzbekistan,,Jul-21,cellular,median,,,13.49,5.94
All Providers Combined,Uzbekistan,,Jul-21,cellular,mean,,,18.61,9.52
All Providers Combined,Azerbaijan,,Aug-21,cellular,median,,,29.93,8.06
All Providers Combined,Azerbaijan,,Aug-21,cellular,mean,,,39.25,14.83
All Providers Combined,Armenia,,Aug-21,cellular,median,,,20.97,6.34
All Providers Combined,Armenia,,Aug-21,cellular,mean,,,33.71,10.86
All Providers Combined,Belarus,,Aug-21,cellular,median,,,9.56,4.09
All Providers Combined,Belarus,,Aug-21,cellular,mean,,,18.66,8.77
All Providers Combined,Kazakhstan,,Aug-21,cellular,median,,,19.82,8.26
All Providers Combined,Kazakhstan,,Aug-21,cellular,mean,,,31.81,12.23
All Providers Combined,Kyrgyzstan,,Aug-21,cellular,median,,,17.16,7.76
All Providers Combined,Kyrgyzstan,,Aug-21,cellular,mean,,,24.95,11.85
All Providers Combined,Russia,,Aug-21,cellular,median,,,17.04,6.41
All Providers Combined,Russia,,Aug-21,cellular,mean,,,28.16,9.92
All Providers Combined,Tajikistan,,Aug-21,cellular,median,,,7.5,3.78
All Providers Combined,Tajikistan,,Aug-21,cellular,mean,,,15.7,7.22
All Providers Combined,Uzbekistan,,Aug-21,cellular,median,,,13.34,6.46
All Providers Combined,Uzbekistan,,Aug-21,cellular,mean,,,18.92,9.73
All Providers Combined,Azerbaijan,,Sep-21,cellular,median,,,31.4,9.04
All Providers Combined,Azerbaijan,,Sep-21,cellular,mean,,,40.69,15.39
All Providers Combined,Armenia,,Sep-21,cellular,median,,,23.98,7.24
All Providers Combined,Armenia,,Sep-21,cellular,mean,,,34.53,11.87
All Providers Combined,Belarus,,Sep-21,cellular,median,,,10.3,4.45
All Providers Combined,Belarus,,Sep-21,cellular,mean,,,19.41,9.38
All Providers Combined,Kazakhstan,,Sep-21,cellular,median,,,19.76,7.96
All Providers Combined,Kazakhstan,,Sep-21,cellular,mean,,,31.74,11.82
All Providers Combined,Kyrgyzstan,,Sep-21,cellular,median,,,18.05,8.71
All Providers Combined,Kyrgyzstan,,Sep-21,cellular,mean,,,24.71,12.28
All Providers Combined,Russia,,Sep-21,cellular,median,,,17.7,6.65
All Providers Combined,Russia,,Sep-21,cellular,mean,,,28.99,10
All Providers Combined,Tajikistan,,Sep-21,cellular,median,,,7.7,4.56
All Providers Combined,Tajikistan,,Sep-21,cellular,mean,,,16.15,8
All Providers Combined,Uzbekistan,,Sep-21,cellular,median,,,14.21,7.37
All Providers Combined,Uzbekistan,,Sep-21,cellular,mean,,,19.29,10.25
All Providers Combined,Azerbaijan,,Oct-21,cellular,median,,,29.61,8.67
All Providers Combined,Azerbaijan,,Oct-21,cellular,mean,,,38.71,15.13
All Providers Combined,Armenia,,Oct-21,cellular,median,,,25.51,7.18
All Providers Combined,Armenia,,Oct-21,cellular,mean,,,36.2,11.76
All Providers Combined,Belarus,,Oct-21,cellular,median,,,10.36,4.82
All Providers Combined,Belarus,,Oct-21,cellular,mean,,,19.86,9.82
All Providers Combined,Kazakhstan,,Oct-21,cellular,median,,,19.49,8.2
All Providers Combined,Kazakhstan,,Oct-21,cellular,mean,,,31.92,11.85
All Providers Combined,Kyrgyzstan,,Oct-21,cellular,median,,,17.92,8.33
All Providers Combined,Kyrgyzstan,,Oct-21,cellular,mean,,,25.57,12.24
All Providers Combined,Russia,,Oct-21,cellular,median,,,17.73,6.89
All Providers Combined,Russia,,Oct-21,cellular,mean,,,29.06,10.25
All Providers Combined,Tajikistan,,Oct-21,cellular,median,,,8.12,4.28
All Providers Combined,Tajikistan,,Oct-21,cellular,mean,,,15.04,7.4
All Providers Combined,Uzbekistan,,Oct-21,cellular,median,,,14.08,7.11
All Providers Combined,Uzbekistan,,Oct-21,cellular,mean,,,19.4,10.11
All Providers Combined,Azerbaijan,,Nov-21,cellular,median,,,28.23,8.24
All Providers Combined,Azerbaijan,,Nov-21,cellular,mean,,,38.56,14.76
All Providers Combined,Armenia,,Nov-21,cellular,median,,,24.27,7.19
All Providers Combined,Armenia,,Nov-21,cellular,mean,,,35.11,11.53
All Providers Combined,Belarus,,Nov-21,cellular,median,,,10.34,4.83
All Providers Combined,Belarus,,Nov-21,cellular,mean,,,19.65,9.8
All Providers Combined,Kazakhstan,,Nov-21,cellular,median,,,18.81,8.33
All Providers Combined,Kazakhstan,,Nov-21,cellular,mean,,,31.25,11.89
All Providers Combined,Kyrgyzstan,,Nov-21,cellular,median,,,16.08,9.06
All Providers Combined,Kyrgyzstan,,Nov-21,cellular,mean,,,23.69,12.74
All Providers Combined,Russia,,Nov-21,cellular,median,,,17.83,7.07
All Providers Combined,Russia,,Nov-21,cellular,mean,,,29.07,10.56
All Providers Combined,Tajikistan,,Nov-21,cellular,median,,,7.57,4.07
All Providers Combined,Tajikistan,,Nov-21,cellular,mean,,,14.54,7.05
All Providers Combined,Uzbekistan,,Nov-21,cellular,median,,,13.67,7.11
All Providers Combined,Uzbekistan,,Nov-21,cellular,mean,,,19.84,10.3
All Providers Combined,Azerbaijan,,Dec-21,cellular,median,,,29.06,8.51
All Providers Combined,Azerbaijan,,Dec-21,cellular,mean,,,38.87,14.94
All Providers Combined,Armenia,,Dec-21,cellular,median,,,25.8,7.74
All Providers Combined,Armenia,,Dec-21,cellular,mean,,,37.26,12.13
All Providers Combined,Belarus,,Dec-21,cellular,median,,,10.74,5.03
All Providers Combined,Belarus,,Dec-21,cellular,mean,,,20.4,9.88
All Providers Combined,Kazakhstan,,Dec-21,cellular,median,,,19.09,8.46
All Providers Combined,Kazakhstan,,Dec-21,cellular,mean,,,31.77,12.04
All Providers Combined,Kyrgyzstan,,Dec-21,cellular,median,,,15.98,8.87
All Providers Combined,Kyrgyzstan,,Dec-21,cellular,mean,,,23.09,12.39
All Providers Combined,Russia,,Dec-21,cellular,median,,,19.06,7.58
All Providers Combined,Russia,,Dec-21,cellular,mean,,,30.43,11.12
All Providers Combined,Tajikistan,,Dec-21,cellular,median,,,7.09,3.89
All Providers Combined,Tajikistan,,Dec-21,cellular,mean,,,14.7,6.93
All Providers Combined,Uzbekistan,,Dec-21,cellular,median,,,13.89,7.44
All Providers Combined,Uzbekistan,,Dec-21,cellular,mean,,,20.47,10.31
All Providers Combined,Azerbaijan,,Jan-22,cellular,median,34.2083,8.1184,30.96,9.6
All Providers Combined,Azerbaijan,,Jan-22,cellular,mean,46,18,41.16,15.2
All Providers Combined,Armenia,,Jan-22,cellular,median,30.3366,7.334,26.23,7.7
All Providers Combined,Armenia,,Jan-22,cellular,mean,39,17,37.61,11.74
All Providers Combined,Belarus,,Jan-22,cellular,median,42.4431,9.7721,11.19,5.32
All Providers Combined,Belarus,,Jan-22,cellular,mean,56,23,21.31,10.14
All Providers Combined,Kazakhstan,,Jan-22,cellular,median,50.8116,12.65,18,8.15
All Providers Combined,Kazakhstan,,Jan-22,cellular,mean,75,38,29.68,11.69
All Providers Combined,Kyrgyzstan,,Jan-22,cellular,median,35.9065,8.6614,17.45,8.85
All Providers Combined,Kyrgyzstan,,Jan-22,cellular,mean,56,23,24.55,12.53
All Providers Combined,Russia,,Jan-22,cellular,median,51.5222,9.5528,19.18,7.47
All Providers Combined,Russia,,Jan-22,cellular,mean,67,24,30.69,11.05
All Providers Combined,Tajikistan,,Jan-22,cellular,median,45.2342,14.6219,6.43,3.64
All Providers Combined,Tajikistan,,Jan-22,cellular,mean,86,41,13.94,6.66
All Providers Combined,Uzbekistan,,Jan-22,cellular,median,41.5598,10.3311,13.85,6.62
All Providers Combined,Uzbekistan,,Jan-22,cellular,mean,66,31,20.01,9.75
All Providers Combined,Azerbaijan,,Feb-22,cellular,median,34.0661,7.6808,30.85,9.29
All Providers Combined,Azerbaijan,,Feb-22,cellular,mean,45,17,40.63,15.23
All Providers Combined,Armenia,,Feb-22,cellular,median,30.954,7.6704,24.18,7.78
All Providers Combined,Armenia,,Feb-22,cellular,mean,41,17,36.16,11.79
All Providers Combined,Belarus,,Feb-22,cellular,median,41.9146,9.7061,10.05,5.64
All Providers Combined,Belarus,,Feb-22,cellular,mean,59,26,19.33,10.59
All Providers Combined,Kazakhstan,,Feb-22,cellular,median,45.6432,11.3823,19.64,8.52
All Providers Combined,Kazakhstan,,Feb-22,cellular,mean,67,31,32.48,12.09
All Providers Combined,Kyrgyzstan,,Feb-22,cellular,median,35.7874,8.4416,17.57,9.1
All Providers Combined,Kyrgyzstan,,Feb-22,cellular,mean,51,21,24.53,13.08
All Providers Combined,Russia,,Feb-22,cellular,median,51.0656,9.477,18.96,7.39
All Providers Combined,Russia,,Feb-22,cellular,mean,67,25,30.9,11
All Providers Combined,Tajikistan,,Feb-22,cellular,median,43.7266,12.8685,8.04,4.29
All Providers Combined,Tajikistan,,Feb-22,cellular,mean,82,47,15.52,7.18
All Providers Combined,Uzbekistan,,Feb-22,cellular,median,41.9892,10.2728,13.8,7.05
All Providers Combined,Uzbekistan,,Feb-22,cellular,mean,69,27,20.13,10.16
All Providers Combined,Azerbaijan,,Mar-22,cellular,median,34.5835,7.9734,30.4,8.97
All Providers Combined,Azerbaijan,,Mar-22,cellular,mean,48,21,41.18,15.12
All Providers Combined,Armenia,,Mar-22,cellular,median,31.6723,8.2242,22.01,8.39
All Providers Combined,Armenia,,Mar-22,cellular,mean,42,18,33.48,12.13
All Providers Combined,Belarus,,Mar-22,cellular,median,42.9523,10.2482,9.99,5.82
All Providers Combined,Belarus,,Mar-22,cellular,mean,60,26,19.66,10.83
All Providers Combined,Kazakhstan,,Mar-22,cellular,median,46.8217,11.7349,18.71,8.22
All Providers Combined,Kazakhstan,,Mar-22,cellular,mean,70,32,31.73,11.85
All Providers Combined,Kyrgyzstan,,Mar-22,cellular,median,36.9395,8.8853,16.3,8.47
All Providers Combined,Kyrgyzstan,,Mar-22,cellular,mean,62,24,22.76,12.02
All Providers Combined,Russia,,Mar-22,cellular,median,50.6559,9.507,20.46,7.66
All Providers Combined,Russia,,Mar-22,cellular,mean,66,25,32.69,11.26
All Providers Combined,Tajikistan,,Mar-22,cellular,median,44.2227,13.8829,7.05,4.11
All Providers Combined,Tajikistan,,Mar-22,cellular,mean,92,43,15.58,7.2
All Providers Combined,Uzbekistan,,Mar-22,cellular,median,43.33,10.3503,13.27,6.94
All Providers Combined,Uzbekistan,,Mar-22,cellular,mean,72,29,19.83,10.01
All Providers Combined,Azerbaijan,,Apr-22,cellular,median,34.3072,7.4824,32.52,10.14
All Providers Combined,Azerbaijan,,Apr-22,cellular,mean,46,15,42.62,16.26
All Providers Combined,Armenia,,Apr-22,cellular,median,32.1567,8.1725,24.79,9.97
All Providers Combined,Armenia,,Apr-22,cellular,mean,49,19,36.8,13.88
All Providers Combined,Belarus,,Apr-22,cellular,median,44.5989,10.8273,10.17,5.66
All Providers Combined,Belarus,,Apr-22,cellular,mean,66,29,19.92,10.57
All Providers Combined,Kazakhstan,,Apr-22,cellular,median,48.3931,12.4245,20.7,8.92
All Providers Combined,Kazakhstan,,Apr-22,cellular,mean,72,36,33.78,12.56
All Providers Combined,Kyrgyzstan,,Apr-22,cellular,median,36.234,8.3861,19.4,9.36
All Providers Combined,Kyrgyzstan,,Apr-22,cellular,mean,62,24,26.26,13.22
All Providers Combined,Russia,,Apr-22,cellular,median,50.2633,9.5912,21.48,7.7
All Providers Combined,Russia,,Apr-22,cellular,mean,69,27,33.89,11.44
All Providers Combined,Tajikistan,,Apr-22,cellular,median,46.97,13.4987,7.84,4.16
All Providers Combined,Tajikistan,,Apr-22,cellular,mean,95,53,17.61,7.23
All Providers Combined,Uzbekistan,,Apr-22,cellular,median,45.1002,11.3054,13.67,7.31
All Providers Combined,Uzbekistan,,Apr-22,cellular,mean,72,33,20.76,10.37
All Providers Combined,Azerbaijan,,May-22,cellular,median,36.0157,8.8302,32.17,10.04
All Providers Combined,Azerbaijan,,May-22,cellular,mean,49,20,42.61,15.49
All Providers Combined,Armenia,,May-22,cellular,median,33.5528,9.0433,21.46,10.02
All Providers Combined,Armenia,,May-22,cellular,mean,48,23,33.48,13.85
All Providers Combined,Belarus,,May-22,cellular,median,45.5008,12.2479,10.12,5.28
All Providers Combined,Belarus,,May-22,cellular,mean,69,36,20.27,10.44
All Providers Combined,Kazakhstan,,May-22,cellular,median,49.3843,14.0126,20.56,8.57
All Providers Combined,Kazakhstan,,May-22,cellular,mean,73,38,34.64,12.41
All Providers Combined,Kyrgyzstan,,May-22,cellular,median,38.1388,9.9231,19.21,8.39
All Providers Combined,Kyrgyzstan,,May-22,cellular,mean,64,28,26.61,12.42
All Providers Combined,Russia,,May-22,cellular,median,51.8622,10.6879,21.21,7.28
All Providers Combined,Russia,,May-22,cellular,mean,70,29,33.72,11.05
All Providers Combined,Tajikistan,,May-22,cellular,median,50.8678,16.2667,8.69,3.9
All Providers Combined,Tajikistan,,May-22,cellular,mean,96,43,18.3,7.17
All Providers Combined,Uzbekistan,,May-22,cellular,median,46.4741,11.3922,13.78,6.83
All Providers Combined,Uzbekistan,,May-22,cellular,mean,74,32,20.8,9.96
All Providers Combined,Azerbaijan,,Jun-22,cellular,median,35.3475,8.7641,33.64,10.07
All Providers Combined,Azerbaijan,,Jun-22,cellular,mean,49,19,43.84,15.64
All Providers Combined,Armenia,,Jun-22,cellular,median,33.2153,8.8775,23.53,10.08
All Providers Combined,Armenia,,Jun-22,cellular,mean,51,25,36.32,14.18
All Providers Combined,Belarus,,Jun-22,cellular,median,47.1887,12.8966,9.39,4.22
All Providers Combined,Belarus,,Jun-22,cellular,mean,73,38,19.81,9.45
All Providers Combined,Kazakhstan,,Jun-22,cellular,median,48.7322,13.4869,22.53,8.84
All Providers Combined,Kazakhstan,,Jun-22,cellular,mean,74,37,36.98,12.81
All Providers Combined,Kyrgyzstan,,Jun-22,cellular,median,38.9677,10.5938,20.96,9.06
All Providers Combined,Kyrgyzstan,,Jun-22,cellular,mean,61,28,28.87,12.93
All Providers Combined,Russia,,Jun-22,cellular,median,52.4398,10.7645,21.73,7.22
All Providers Combined,Russia,,Jun-22,cellular,mean,70,30,34.68,11.03
All Providers Combined,Tajikistan,,Jun-22,cellular,median,49.2579,15.4073,9.03,4.13
All Providers Combined,Tajikistan,,Jun-22,cellular,mean,90,46,19.5,7.15
All Providers Combined,Uzbekistan,,Jun-22,cellular,median,44.8669,11.2478,14.24,6.75
All Providers Combined,Uzbekistan,,Jun-22,cellular,mean,75,31,20.98,10.17
All Providers Combined,Azerbaijan,,Jul-22,cellular,median,36.0123,8.8089,31.23,9.23
All Providers Combined,Azerbaijan,,Jul-22,cellular,mean,50,22,41.93,15.16
All Providers Combined,Armenia,,Jul-22,cellular,median,32.2555,8.5083,28.83,9.77
All Providers Combined,Armenia,,Jul-22,cellular,mean,48,21,40.41,13.55
All Providers Combined,Belarus,,Jul-22,cellular,median,48.1073,13.3506,10.18,4.32
All Providers Combined,Belarus,,Jul-22,cellular,mean,73,38,20.66,9.78
All Providers Combined,Kazakhstan,,Jul-22,cellular,median,48.7642,13.5534,22.61,8.96
All Providers Combined,Kazakhstan,,Jul-22,cellular,mean,74,38,37.91,12.86
All Providers Combined,Kyrgyzstan,,Jul-22,cellular,median,42.4874,10.6088,20.86,8.39
All Providers Combined,Kyrgyzstan,,Jul-22,cellular,mean,67,31,29.6,12.31
All Providers Combined,Russia,,Jul-22,cellular,median,52.8558,11.0681,21.04,6.95
All Providers Combined,Russia,,Jul-22,cellular,mean,72,32,34.17,10.71
All Providers Combined,Tajikistan,,Jul-22,cellular,median,50.4657,17.3327,8.07,3.77
All Providers Combined,Tajikistan,,Jul-22,cellular,mean,99,53,17.06,6.51
All Providers Combined,Uzbekistan,,Jul-22,cellular,median,44.3053,11.3818,13.97,6.69
All Providers Combined,Uzbekistan,,Jul-22,cellular,mean,76,34,23.76,10.45
All Providers Combined,Azerbaijan,,Aug-22,cellular,median,36.6348,9.0227,30.9,8.92
All Providers Combined,Azerbaijan,,Aug-22,cellular,mean,54,23,41.32,14.98
All Providers Combined,Armenia,,Aug-22,cellular,median,32.4586,8.6905,26.06,8.58
All Providers Combined,Armenia,,Aug-22,cellular,mean,50,22,37.44,13.01
All Providers Combined,Belarus,,Aug-22,cellular,median,47.6564,12.6241,10.69,5.04
All Providers Combined,Belarus,,Aug-22,cellular,mean,72,37,21.66,10.52
All Providers Combined,Kazakhstan,,Aug-22,cellular,median,48.3697,13.8388,22.07,8.9
All Providers Combined,Kazakhstan,,Aug-22,cellular,mean,74,38,36.9,12.74
All Providers Combined,Kyrgyzstan,,Aug-22,cellular,median,44.0036,11.0033,20.23,8.74
All Providers Combined,Kyrgyzstan,,Aug-22,cellular,mean,65,30,31.94,13.21
All Providers Combined,Russia,,Aug-22,cellular,median,52.5997,11.0385,21.24,7.23
All Providers Combined,Russia,,Aug-22,cellular,mean,71,32,34.72,11.01
All Providers Combined,Tajikistan,,Aug-22,cellular,median,55.216,20.193,7.79,4.63
All Providers Combined,Tajikistan,,Aug-22,cellular,mean,96,50,16.47,7.22
All Providers Combined,Uzbekistan,,Aug-22,cellular,median,44.6527,11.0676,15.07,7.6
